,name,host_since,host_response_time,host_response_rate,host_is_superhost,host_identity_verified,neighbourhood_cleansed,property_type,room_type,bathrooms_text,amenities,has_availability,first_review,last_review,instant_bookable,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1208,Room and breakfast Quebec,2014-06-26,Desconocido,-%,f,t,Saint-Jean-Baptiste,Private room in bed and breakfast,Private room,1 shared bath,"[""High chair"", ""Courtyard view"", ""Extra pillows and blankets"", ""Free street parking"", ""Board games"", ""Pack \u2019n play/Travel crib"", ""Children\u2019s books and toys"", ""Patio or balcony"", ""Fire extinguisher"", ""Private entrance"", ""Host greets you"", ""Dryer"", ""Essentials"", ""Smoke alarm"", ""Heating"", ""Fireplace guards"", ""Bed linens"", ""Long term stays allowed"", ""Dishes and silverware"", ""First aid kit"", ""Crib"", ""Hot water"", ""Backyard"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Hangers"", ""Breakfast"", ""Iron"", ""Refrigerator"", ""Room-darkening shades"", ""Air conditioning"", ""Hair dryer"", ""Paid parking on premises"", ""Washer"", ""Indoor fireplace"", ""Lock on bedroom door"", ""Private living room"", ""Microwave"", ""Coffee maker"", ""Shower gel"", ""Cooking basics"", ""Paid parking off premises"", ""Wifi"", ""Shampoo""]",t,2014-07-27,2023-08-12,f,46.81185,-71.21827,1.0,1.0,1.0,1.0,129.0,31.0,31,29,59,89,364,35.0,0.0,0.0,4.8,4.8,4.86,4.94,4.94,4.89,4.74,1.0,0.0,0.0,0.0,0.28
1209,CONDO PLEIN CENTRE-VILLE,2014-03-04,within an hour,100%,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,Entire loft,Entire home/apt,1 bath,"[""Extra pillows and blankets"", ""Elevator"", ""Gym"", ""Fire extinguisher"", ""Host greets you"", ""Oven"", ""Dryer"", ""Essentials"", ""Smoke alarm"", ""Heating"", ""Bed linens"", ""Long term stays allowed"", ""Dishes and silverware"", ""First aid kit"", ""Free parking on premises"", ""Hot water"", ""Luggage dropoff allowed"", ""Private patio or balcony"", ""TV with standard cable"", ""Hangers"", ""Iron"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Hair dryer"", ""Stove"", ""Washer"", ""Microwave"", ""Dishwasher"", ""Coffee maker"", ""Cooking basics"", ""Kitchen"", ""Wifi"", ""Shampoo""]",t,2014-08-12,2024-10-01,f,46.81237,-71.21426,4.0,1.0,1.0,2.0,140.0,31.0,1125,18,48,78,222,65.0,5.0,0.0,4.85,4.92,4.92,4.91,4.92,4.98,4.79,1.0,1.0,0.0,0.0,0.52
1210,"Cosy apt Quebec downtown, sleeps 4",2012-01-24,within a few hours,100%,f,t,Saint-Sauveur,Entire rental unit,Entire home/apt,1 bath,"[""Free street parking"", ""Dryer"", ""Essentials"", ""Smoke alarm"", ""Self check-in"", ""Heating"", ""Dishes and silverware"", ""Free parking on premises"", ""Crib"", ""Hot water"", ""Hangers"", ""Refrigerator"", ""Iron"", ""Dedicated workspace"", ""Hair dryer"", ""Washer"", ""TV"", ""Lockbox"", ""Coffee maker"", ""Cooking basics"", ""Kitchen"", ""Wifi""]",t,2014-08-22,2024-09-01,f,46.81479,-71.24005,4.0,1.0,1.0,2.0,49.0,31.0,365,8,31,31,192,34.0,2.0,0.0,4.38,4.9,4.52,4.82,4.81,4.44,4.55,8.0,8.0,0.0,0.0,0.27
1211,Maison située dans le Vieux-Québec-175490,2014-08-08,within an hour,100%,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,Entire home,Entire home/apt,3 baths,"[""High chair"", ""Canal view"", ""Waterfront"", ""Children\u2019s books and toys"", ""Patio or balcony"", ""Fire extinguisher"", ""Dryer"", ""Essentials"", ""Smoke alarm"", ""Self check-in"", ""Heating"", ""Long term stays allowed"", ""Dishes and silverware"", ""First aid kit"", ""Free parking on premises"", ""Hot water"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Hangers"", ""BBQ grill"", ""Breakfast"", ""Iron"", ""Refrigerator"", ""Outdoor furniture"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Hair dryer"", ""Washer"", ""Lockbox"", ""Indoor fireplace"", ""Microwave"", ""Coffee maker"", ""Kitchen"", ""Wifi"", ""Shampoo""]",t,2015-02-01,2024-10-18,f,46.80343,-71.20912,6.0,1.0,3.0,1.8,120.4,4.0,30,0,9,34,162,45.0,17.0,2.0,4.98,4.89,5.0,5.0,5.0,4.91,4.89,2.0,2.0,0.0,0.0,0.38
1212,"Central, Authentique et Unique",2014-06-02,within an hour,100%,t,t,Saint-Jean-Baptiste,Entire rental unit,Entire home/apt,1 bath,"[""Ethernet connection"", ""50 inch HDTV with Fire TV, Netflix, DVD player"", ""Extra pillows and blankets"", ""Free street parking"", ""Patio or balcony"", ""Fire extinguisher"", ""Private entrance"", ""Single level home"", ""Oven"", ""Dryer"", ""Essentials"", ""Smoke alarm"", ""Self check-in"", ""Heating"", ""Bed linens"", ""Long term stays allowed"", ""Dishes and silverware"", ""First aid kit"", ""Hot water"", ""Luggage dropoff allowed"", ""Hangers"", ""Iron"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Dedicated workspace"", ""Hair dryer"", ""Stove"", ""Washer"", ""Lockbox"", ""Microwave"", ""Dishwasher"", ""Coffee maker"", ""Cooking basics"", ""Paid parking off premises"", ""Kitchen"", ""Wifi"", ""Shampoo""]",t,2014-08-17,2022-04-10,f,46.81091,-71.22243,1.0,1.0,1.0,1.0,120.0,31.0,93,0,20,50,133,42.8,0.0,0.0,4.95,4.96,4.99,4.99,4.98,4.91,4.93,2.0,2.0,0.0,0.0,4.42
1213,Chambre à louer (31 jours et plus),2013-05-03,within a few hours,80%,f,t,Duberger-Les Saules,Private room in home,Private room,1 shared bath,"[""Extra pillows and blankets"", ""Free street parking"", ""Fire extinguisher"", ""Private entrance"", ""Oven"", ""Dryer"", ""Cleaning available during stay"", ""Smoke alarm"", ""Self check-in"", ""Shared backyard \u2013 Not fully fenced"", ""Heating"", ""Bed linens"", ""Long term stays allowed"", ""Dishes and silverware"", ""Free parking on premises"", ""Hot water"", ""Hangers"", ""Refrigerator"", ""Dedicated workspace"", ""Keypad"", ""Stove"", ""Washer"", ""Lock on bedroom door"", ""Microwave"", ""Coffee maker"", ""Cooking basics"", ""Kitchen"", ""Wifi""]",t,2015-08-09,2024-04-01,f,46.80757,-71.2,1.0,1.0,1.0,1.0,20.0,31.0,365,9,39,69,249,16.0,2.0,0.0,4.8,4.9,4.8,4.75,4.69,4.8,4.7,7.0,0.0,0.0,0.0,0.14
1214,Cozy Downtown Rooftop Apt with Private Parking,2012-10-09,within a few hours,100%,t,t,Saint-Sauveur,Entire condo,Entire home/apt,1 bath,"[""High chair"", ""Conditioner"", ""Extra pillows and blankets"", ""Free street parking"", ""Board games"", ""Freezer"", ""Rice maker"", ""Pack \u2019n play/Travel crib"", ""Patio or balcony"", ""Fire extinguisher"", ""Hot water kettle"", ""Private entrance"", ""Blender"", ""Oven"", ""Dryer"", ""Essentials"", ""Sound system with Bluetooth and aux"", ""Portable fans"", ""Smoke alarm"", ""Self check-in"", ""Bathtub"", ""Body soap"", ""Heating"", ""Wine glasses"", ""Toaster"", ""City skyline view"", ""Bed linens"", ""Books and reading material"", ""First aid kit"", ""Dishes and silverware"", ""Crib"", ""Hot water"", ""Outdoor dining area"", ""Free parking on premises"", ""Long term stays allowed"", ""Hangers"", ""Iron"", ""Refrigerator"", ""Outdoor furniture"", ""Room-darkening shades"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Mini fridge"", ""Hair dryer"", ""Stove"", ""Washer"", ""TV"", ""Lockbox"", ""Sun loungers"", ""Microwave"", ""Dishwasher"", ""Coffee maker"", ""Shower gel"", ""Drying rack for clothing"", ""Clothing storage: closet, wardrobe, and dresser"", ""Cleaning products"", ""Cooking basics"", ""Mountain view"", ""Kitchen"", ""Dining table"", ""Wifi"", ""Shampoo""]",t,2017-07-01,2024-03-03,f,46.80902,-71.23122,6.0,1.0,2.0,3.0,195.0,31.0,62,16,31,61,147,95.0,2.0,0.0,4.94,4.98,4.94,4.97,4.94,4.75,4.85,2.0,2.0,0.0,0.0,1.06
1215,Littoral - Signature | 2 Queens,2014-04-22,Desconocido,-%,f,f,Quartier 5-4,Room in boutique hotel,Hotel room,1 private bath,"[""AC - split type ductless system"", ""Ethernet connection"", ""Building staff"", ""Exterior security cameras on property"", ""Conditioner"", ""Extra pillows and blankets"", ""Clothing storage: closet and dresser"", ""42 inch HDTV with Chromecast, standard cable"", ""Elevator"", ""Free resort access"", ""Fire extinguisher"", ""Hot water kettle"", ""Paid dryer \u2013 In building"", ""Single level home"", ""Essentials"", ""Crib - available upon request"", ""Smoke alarm"", ""Laundromat nearby"", ""Self check-in"", ""Body soap"", ""Paid washer \u2013 In building"", ""Heating"", ""Wine glasses"", ""Coffee"", ""Bed linens"", ""Long term stays allowed"", ""First aid kit"", ""Outdoor dining area"", ""Free parking on premises"", ""Hot water"", ""Luggage dropoff allowed"", ""Mosquito net"", ""Hangers"", ""Pets allowed"", ""Iron"", ""Refrigerator"", ""Outdoor furniture"", ""Room-darkening shades"", ""Dedicated workspace"", ""Mini fridge"", ""Hair dryer"", ""Microwave"", ""Coffee maker"", ""EV charger"", ""Shower gel"", ""Wifi"", ""Shampoo""]",t,2015-04-09,2023-08-07,f,46.8,-71.18663,4.0,1.0,1.0,2.0,143.2,31.0,1125,0,0,0,0,112.0,0.0,0.0,4.69,4.81,4.87,4.84,4.76,4.61,4.68,5.0,0.0,0.0,0.0,0.96
1216,Charming apt inside the walled city,2018-08-20,Desconocido,-%,f,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,Entire rental unit,Entire home/apt,1 bath,"[""Oven"", ""Dryer"", ""Essentials"", ""Smoke alarm"", ""Self check-in"", ""Heating"", ""Bed linens"", ""Dishes and silverware"", ""Hot water"", ""Hangers"", ""Pets allowed"", ""Refrigerator"", ""Iron"", ""Air conditioning"", ""Dedicated workspace"", ""Hair dryer"", ""Stove"", ""Washer"", ""TV"", ""Lockbox"", ""Microwave"", ""Coffee maker"", ""Cooking basics"", ""Paid parking off premises"", ""Kitchen"", ""Wifi"", ""Shampoo""]",t,2014-12-23,2024-11-03,t,46.8159,-71.20911,3.0,1.0,1.0,1.0,77.0,2.0,1124,22,36,66,133,42.8,35.0,3.0,4.73,4.84,4.77,4.86,4.86,4.95,4.77,1.0,1.0,0.0,0.0,3.47
1217,2 bedroom in Quebec downtown,2012-01-24,within a few hours,100%,f,t,Saint-Sauveur,Entire rental unit,Entire home/apt,1.5 baths,"[""High chair"", ""Free washer \u2013 In building"", ""Dryer"", ""Essentials"", ""Smoke alarm"", ""Self check-in"", ""Heating"", ""43 inch TV with Netflix, Roku"", ""Dishes and silverware"", ""Free parking on premises"", ""Crib"", ""Backyard"", ""Hangers"", ""Refrigerator"", ""Iron"", ""Dedicated workspace"", ""Children\u2019s dinnerware"", ""Keypad"", ""Hair dryer"", ""Coffee maker"", ""Cooking basics"", ""Kitchen"", ""Wifi"", ""Shampoo""]",t,2015-03-22,2024-01-01,f,46.81328,-71.23797,4.0,1.0,2.0,2.0,42.0,40.0,900,0,0,0,132,32.0,1.0,0.0,4.8,4.9,4.8,4.9,4.53,4.56,4.44,8.0,8.0,0.0,0.0,0.27
1218,Lumineux logement à 3 pas du centre,2014-04-24,within a day,100%,f,t,Saint-Sauveur,Entire rental unit,Entire home/apt,1 bath,"[""Record player"", ""Extra pillows and blankets"", ""Free street parking"", ""Freezer"", ""Patio or balcony"", ""Fire extinguisher"", ""Hot water kettle"", ""Oven"", ""Dryer"", ""Essentials"", ""Smoke alarm"", ""Clothing storage"", ""Bathtub"", ""Heating"", ""Wine glasses"", ""Toaster"", ""Bed linens"", ""Long term stays allowed"", ""Dishes and silverware"", ""Hot water"", ""Backyard"", ""Hangers"", ""Sound system"", ""Refrigerator"", ""Hair dryer"", ""Stove"", ""Washer"", ""Coffee maker"", ""Dishwasher"", ""Dining table"", ""Drying rack for clothing"", ""Cleaning products"", ""Cooking basics"", ""Kitchen"", ""Wifi""]",t,2018-01-01,2024-08-25,f,46.80904,-71.23797,4.0,1.0,2.0,3.0,90.0,3.0,90,0,0,0,29,8.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,4.75,5.0,1.0,1.0,0.0,0.0,0.1
1219,Cozy Retreat: Jacuzzi & Wine in Quebec City,2015-02-23,within an hour,100%,t,t,Pointe-de-Sainte-Foy,Entire bungalow,Entire home/apt,2 baths,"[""HDTV with Netflix, Roku, DVD player"", ""Courtyard view"", ""EV charger - level 2"", ""Extra pillows and blankets"", ""Free street parking"", ""Free dryer \u2013 In unit"", ""Freezer"", ""Rice maker"", ""Stainless steel electric stove"", ""Cooking basics"", ""Fire extinguisher"", ""Hot water kettle"", ""Private entrance"", ""Blender"", ""Oven"", ""Private backyard \u2013 Fully fenced"", ""Essentials"", ""Cleaning available during stay"", ""Shared beach access"", ""Baby safety gates"", ""Pocket wifi"", ""Smoke alarm"", ""Private hot tub"", ""Barbecue utensils"", ""Aveeno body soap"", ""Private outdoor kitchen"", ""Self check-in"", ""Bathtub"", ""Fire pit"", ""Ceiling fan"", ""Heating"", ""Wine glasses"", ""Toaster"", ""Coffee"", ""Bed linens"", ""Long term stays allowed"", ""Dishes and silverware"", ""First aid kit"", ""Outdoor dining area"", ""Free parking on premises"", ""Hot water"", ""Luggage dropoff allowed"", ""Private patio or balcony"", ""Mosquito net"", ""Revitalift conditioner"", ""Hangers"", ""Sound system"", ""Iron"", ""Refrigerator"", ""Baking sheet"", ""Free washer \u2013 In unit"", ""Outdoor furniture"", ""Room-darkening shades"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Bidet"", ""Children\u2019s dinnerware"", ""BBQ grill"", ""Indoor fireplace: wood-burning"", ""Keypad"", ""Hair dryer"", ""Central air conditioning"", ""Microwave"", ""Dishwasher"", ""Coffee maker"", ""Shower gel"", ""Drying rack for clothing"", ""Dining table"", ""Cleaning products"", ""Clothing storage: walk-in closet, closet, wardrobe, and dresser"", ""Kitchen"", ""Wifi"", ""Shampoo"", ""Bread maker""]",t,2015-07-19,2024-10-14,f,46.8,-71.2,9.0,1.0,1.4,1.8,120.4,2.0,1125,25,48,75,339,93.0,15.0,1.0,4.89,4.89,4.95,4.94,4.97,4.73,4.79,1.0,1.0,0.0,0.0,0.82
1220,Chambre privée dans une maison 31 jours et +,2013-06-09,within a few hours,100%,f,t,Sillery,Private room in cottage,Private room,1 private bath,"[""Private backyard \u2013 Not fully fenced"", ""Extra pillows and blankets"", ""Free street parking"", ""Freezer"", ""Fire extinguisher"", ""Private entrance"", ""Oven"", ""Dryer"", ""Essentials"", ""Smoke alarm"", ""Heating"", ""Bed linens"", ""Long term stays allowed"", ""Dishes and silverware"", ""Hot water"", ""Washer \u2013\u00a0In building"", ""Refrigerator"", ""Iron"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Mini fridge"", ""Hair dryer"", ""Lock on bedroom door"", ""Microwave"", ""Dishwasher"", ""Coffee maker"", ""Cooking basics"", ""Kitchen"", ""Wifi"", ""Electric stove""]",t,2016-08-17,2022-11-25,f,46.8,-71.25888,1.0,1.0,1.0,1.0,24.0,32.0,1125,12,20,50,325,9.0,0.0,0.0,4.67,4.67,4.78,5.0,5.0,4.89,4.78,2.0,0.0,0.0,0.0,0.09
1221,Au coeur du Quartier des Arts!,2013-04-03,within an hour,100%,t,f,Montcalm,Entire rental unit,Entire home/apt,1 bath,"[""Ethernet connection"", ""Building staff"", ""Conditioner"", ""Patio or balcony"", ""Fire extinguisher"", ""Private entrance"", ""Single level home"", ""Oven"", ""Dryer"", ""Essentials"", ""Smoke alarm"", ""Self check-in"", ""Clothing storage"", ""Bathtub"", ""Body soap"", ""Heating"", ""Bed linens"", ""Books and reading material"", ""Dishes and silverware"", ""First aid kit"", ""Free parking on premises"", ""Long term stays allowed"", ""Hot water"", ""Luggage dropoff allowed"", ""Mosquito net"", ""Hangers"", ""TV with standard cable"", ""Pets allowed"", ""Iron"", ""Refrigerator"", ""Room-darkening shades"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Hair dryer"", ""Stove"", ""Washer"", ""Microwave"", ""Dishwasher"", ""Coffee maker"", ""Shower gel"", ""EV charger"", ""Cleaning products"", ""Cooking basics"", ""Kitchen"", ""Wifi"", ""Shampoo""]",t,2017-07-03,2022-09-01,t,46.8,-71.23091,4.0,1.0,2.0,3.0,120.4,31.0,1125,0,0,7,282,39.0,0.0,0.0,4.97,5.0,5.0,5.0,5.0,5.0,4.84,3.0,3.0,0.0,0.0,0.44
1222,Chambre tranquille,2013-05-03,within a few hours,80%,f,t,Duberger-Les Saules,Private room in home,Private room,1 shared bath,"[""Extra pillows and blankets"", ""Free street parking"", ""Patio or balcony"", ""Private entrance"", ""Oven"", ""Dryer"", ""Cleaning available during stay"", ""Smoke alarm"", ""Self check-in"", ""Shared backyard \u2013 Not fully fenced"", ""Heating"", ""Bed linens"", ""Long term stays allowed"", ""Dishes and silverware"", ""Free parking on premises"", ""Hot water"", ""Hangers"", ""Refrigerator"", ""Dedicated workspace"", ""Keypad"", ""Stove"", ""Washer"", ""Lock on bedroom door"", ""Microwave"", ""Dishwasher"", ""Coffee maker"", ""Cooking basics"", ""Kitchen"", ""Wifi""]",t,2017-10-31,2023-12-31,f,46.80757,-71.2,1.0,1.0,1.0,1.0,21.0,31.0,1125,0,0,6,281,10.0,1.0,0.0,4.8,4.6,4.8,4.9,4.8,4.8,4.4,7.0,0.0,0.0,0.0,0.12
1223,Loft - Saint-Roch (Vieux-Québec),2019-07-22,Desconocido,-%,f,t,Saint-Roch,Entire rental unit,Entire home/apt,1 bath,"[""Extra pillows and blankets"", ""Clothing storage: closet and dresser"", ""Free street parking"", ""Freezer"", ""Paid street parking off premises"", ""Hot water kettle"", ""Blender"", ""Oven"", ""Essentials"", ""Smoke alarm"", ""Laundromat nearby"", ""Self check-in"", ""Bathtub"", ""Ceiling fan"", ""Heating"", ""Wine glasses"", ""Toaster"", ""Bed linens"", ""Long term stays allowed"", ""Dishes and silverware"", ""Hot water"", ""Baking sheet"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Keypad"", ""Stove"", ""Microwave"", ""Coffee maker"", ""Dining table"", ""Cleaning products"", ""Cooking basics"", ""Kitchen"", ""Wifi""]",t,2024-02-04,2024-07-30,f,46.81492,-71.22958,2.0,1.0,0.0,1.0,130.0,31.0,90,0,0,0,37,11.0,11.0,0.0,4.64,4.82,4.91,5.0,4.82,4.55,4.7,1.0,1.0,0.0,0.0,1.18
1224,loft cozy,2015-06-25,within a day,100%,t,t,Quartier 4-5,Private room in home,Private room,1 private bath,"[""Clothing storage: dresser"", ""Private backyard \u2013 Not fully fenced"", ""Conditioner"", ""Extra pillows and blankets"", ""Free street parking"", ""Private entrance"", ""Hot water kettle"", ""Single level home"", ""Essentials"", ""Smoke alarm"", ""Self check-in"", ""Body soap"", ""Heating"", ""Wine glasses"", ""Toaster"", ""Coffee"", ""Bed linens"", ""Long term stays allowed"", ""Dishes and silverware"", ""First aid kit"", ""Outdoor dining area"", ""Free parking on premises"", ""Hot water"", ""Luggage dropoff allowed"", ""Private patio or balcony"", ""Mosquito net"", ""Hangers"", ""Baking sheet"", ""Refrigerator"", ""Outdoor furniture"", ""Air conditioning"", ""Mini fridge"", ""Keypad"", ""Hair dryer"", ""Microwave"", ""Coffee maker"", ""Dining table"", ""Cleaning products"", ""Cooking basics"", ""Kitchen"", ""Wifi"", ""Shampoo""]",t,2015-07-14,2024-10-11,f,46.8,-71.26511,2.0,1.0,1.0,1.0,76.0,3.0,90,0,0,1,247,42.8,15.0,1.0,4.89,4.96,4.98,4.98,4.96,4.77,4.91,1.0,0.0,0.0,0.0,2.17
1225,Perfect space in heart of Quebec,2014-07-20,within an hour,100%,t,t,Saint-Jean-Baptiste,Entire rental unit,Entire home/apt,1 bath,"[""Conditioner"", ""Clothing storage: closet"", ""Patio or balcony"", ""Fire extinguisher"", ""Hot water kettle"", ""Oven"", ""Dryer"", ""Essentials"", ""Smoke alarm"", ""Self check-in"", ""Bathtub"", ""Heating"", ""Wine glasses"", ""Toaster"", ""Bed linens"", ""Dishes and silverware"", ""Hot water"", ""Hangers"", ""Baking sheet"", ""Iron"", ""Refrigerator"", ""Pets allowed"", ""Air conditioning"", ""Pack \u2019n play/Travel crib - available upon request"", ""Hair dryer"", ""Stove"", ""Washer"", ""TV"", ""Lockbox"", ""Paid parking garage off premises"", ""Microwave"", ""Dishwasher"", ""Coffee maker"", ""Shower gel"", ""Dining table"", ""Cleaning products"", ""Cooking basics"", ""Kitchen"", ""Wifi"", ""Shampoo""]",t,2015-07-12,2024-11-05,t,46.80923,-71.2224,3.0,1.0,1.0,3.0,63.0,1.0,1123,26,41,42,53,42.8,34.0,5.0,4.85,4.94,4.86,4.96,4.91,4.91,4.84,1.0,1.0,0.0,0.0,3.14
1226,Québec City (***) Superbe Sécuritaire Tranquille ;,2014-07-09,within an hour,100%,t,t,Cité Universitaire,Private room in home,Private room,1 shared bath,"[""No name conditioner"", ""Extra pillows and blankets"", ""Clothing storage: closet and dresser"", ""Free street parking"", ""Freezer"", ""Rice maker"", ""Patio or balcony"", ""Fire extinguisher"", ""Hot water kettle"", ""Private entrance"", ""Single level home"", ""Blender"", ""Oven"", ""Dryer"", ""Essentials"", ""Pocket wifi"", ""Smoke alarm"", ""Laundromat nearby"", ""Self check-in"", ""Bathtub"", ""Heating"", ""Wine glasses"", ""Toaster"", ""Coffee"", ""Bed linens"", ""Books and reading material"", ""Dishes and silverware"", ""First aid kit"", ""Free parking on premises"", ""Long term stays allowed"", ""Hot water"", ""No name body soap"", ""Backyard"", ""Mosquito net"", ""Hangers"", ""Baking sheet"", ""Iron"", ""Refrigerator"", ""Room-darkening shades"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Keypad"", ""Hair dryer"", ""Stove"", ""Paid parking on premises"", ""Washer"", ""Central air conditioning"", ""Lock on bedroom door"", ""Microwave"", ""Coffee maker"", ""Shower gel"", ""Dining table"", ""Cleaning products"", ""Cooking basics"", ""Mountain view"", ""Kitchen"", ""Wifi"", ""Shampoo""]",t,2015-08-03,2024-01-13,t,46.8,-71.2,1.0,1.0,1.0,1.0,39.0,32.0,365,0,0,0,192,61.0,1.0,0.0,4.82,4.97,4.92,4.98,4.95,4.75,4.85,5.0,0.0,0.0,0.0,0.54
1227,In the heart of Quebec City,2014-04-28,Desconocido,-%,f,t,Saint-Roch,Entire rental unit,Entire home/apt,1 bath,"[""Ethernet connection"", ""Exterior security cameras on property"", ""Elevator"", ""Free street parking"", ""Paid parking garage on premises"", ""Private entrance"", ""Paid dryer \u2013 In building"", ""Host greets you"", ""Essentials"", ""Smoke alarm"", ""Laundromat nearby"", ""Bathtub"", ""Heating"", ""Free washer"", ""Toaster"", ""Bed linens"", ""Long term stays allowed"", ""Dishes and silverware"", ""Free parking on premises"", ""Hot water"", ""Luggage dropoff allowed"", ""Hangers"", ""Refrigerator"", ""Coffee maker: pour-over coffee"", ""Mini fridge"", ""Hair dryer"", ""Stove"", ""Paid parking garage off premises"", ""Microwave"", ""Shower gel"", ""Dining table"", ""Cooking basics"", ""Kitchen"", ""Wifi"", ""Shampoo""]",t,2015-07-20,2023-07-01,f,46.81556,-71.21993,2.0,1.0,0.0,2.0,125.0,31.0,1125,30,60,90,365,173.0,0.0,0.0,4.38,4.75,4.57,4.82,4.84,4.72,4.41,2.0,2.0,0.0,0.0,1.53
1228,Private Parking & Rooftop - Modern 2 BDR,2012-10-09,within a few hours,100%,t,t,Saint-Sauveur,Entire condo,Entire home/apt,1 bath,"[""High chair"", ""50 inch HDTV with Netflix"", ""Conditioner"", ""Extra pillows and blankets"", ""Free street parking"", ""Free dryer \u2013 In unit"", ""Board games"", ""Freezer"", ""Rice maker"", ""Pack \u2019n play/Travel crib"", ""Children\u2019s books and toys"", ""Cooking basics"", ""Fire extinguisher"", ""Hot water kettle"", ""Private entrance"", ""Blender"", ""Oven"", ""Essentials"", ""Cleaning available during stay"", ""Sound system with Bluetooth and aux"", ""Portable fans"", ""Smoke alarm"", ""Self check-in"", ""Bathtub"", ""Body soap"", ""Heating"", ""Wine glasses"", ""Toaster"", ""City skyline view"", ""Bed linens"", ""Books and reading material"", ""First aid kit"", ""Dishes and silverware"", ""Outdoor dining area"", ""Hot water"", ""Free parking on premises"", ""Long term stays allowed"", ""Private patio or balcony"", ""Mosquito net"", ""Hangers"", ""Iron"", ""Refrigerator"", ""Free washer \u2013 In unit"", ""Outdoor furniture"", ""Room-darkening shades"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Children\u2019s dinnerware"", ""Mini fridge"", ""Hair dryer"", ""Stove"", ""Lockbox"", ""Central air conditioning"", ""Microwave"", ""Dishwasher"", ""Coffee maker"", ""Shower gel"", ""Drying rack for clothing"", ""Dining table"", ""Cleaning products"", ""Clothing storage: walk-in closet, closet, wardrobe, and dresser"", ""Mountain view"", ""Kitchen"", ""Sun loungers"", ""Wifi"", ""Shampoo""]",t,2015-08-14,2024-10-14,f,46.81085,-71.23068,6.0,1.0,2.0,3.0,225.0,3.0,31,14,30,60,83,166.0,16.0,1.0,4.89,4.93,4.91,4.94,4.98,4.7,4.8,2.0,2.0,0.0,0.0,1.48
1229,Logement dans St-Jean-Baptiste,2023-05-30,within an hour,100%,f,t,Montcalm,Entire rental unit,Entire home/apt,1 bath,"[""Extra pillows and blankets"", ""Free street parking"", ""Free dryer \u2013 In unit"", ""Clothing storage: closet"", ""Single level home"", ""Oven"", ""Essentials"", ""Coffee maker: drip coffee maker"", ""Portable fans"", ""Smoke alarm"", ""Bathtub"", ""40 inch HDTV"", ""Heating"", ""Wine glasses"", ""Toaster"", ""Coffee"", ""Bed linens"", ""Dishes and silverware"", ""First aid kit"", ""Mosquito net"", ""Hangers"", ""Iron"", ""Refrigerator"", ""Hair dryer"", ""Stove"", ""Washer"", ""Microwave"", ""Shower gel"", ""Dining table"", ""Cleaning products"", ""Cooking basics"", ""Kitchen"", ""Wifi"", ""Shampoo""]",t,2023-06-23,2024-11-05,t,46.80686,-71.22825,2.0,1.0,1.0,2.0,68.0,1.0,365,21,36,66,244,121.0,17.3,7.0,4.45,4.5,4.59,4.67,4.78,4.71,4.39,1.0,1.0,0.0,0.0,7.17
